Date,Title,Employer,Category,Job Link
2025-01-22,Functional Safety / Cybersecurity Engineer,Kemizares AB,Uncategorized,https://vakanser.se/jobb/functional+safety+cybersecurity+engineer/
2025-01-22,"Software Engineer(C#, React)",Volvo Personvagnar AB,Non-Consultancy,https://vakanser.se/jobb/software+engineer+c+react/
2025-01-22,Test Engineer,Volvo Personvagnar AB,Non-Consultancy,https://vakanser.se/jobb/test+engineer+497/
2025-01-21,Software Engineer (.NET) | AI & Deep Learning Specialist,Volvo Business Services AB,Uncategorized,https://vakanser.se/jobb/software+engineer+net+ai+o+deep+learning+specialist/
2025-01-21,Nyexaminerad Embedded Software Engineer!,Friday Väst AB,Consultancy,https://vakanser.se/jobb/nyexaminerad+embedded+software+engineer/
2025-01-21,Backend Developer,Deploja AB,Consultancy,https://vakanser.se/jobb/backend+developer+523/
2025-01-21,Software Quality Engineer,Drifter World AB,Uncategorized,https://vakanser.se/jobb/software+quality+engineer+27/
2025-01-21,System Developer Nutanix,NXT Interim Göteborg AB,Uncategorized,https://vakanser.se/jobb/system+developer+nutanix+3/
2025-01-21,Embbedded Software Engineer,Nexer AB,Uncategorized,https://vakanser.se/jobb/embbedded+software+engineer+5/
2025-01-21,Utvecklare med fokus på Kubernetes,Futuria People AB,Consultancy,https://vakanser.se/jobb/utvecklare+med+fokus+pa+kubernetes+4/
2025-01-20,Machine Learning Engineer,Etraveli Group AB,Uncategorized,https://vakanser.se/jobb/machine+learning+engineer+148/
2025-01-20,Data Engineer,Etraveli Group AB,Uncategorized,https://vakanser.se/jobb/data+engineer+801/
2025-01-20,Software developer within Steering systems,Volvo Business Services AB,Uncategorized,https://vakanser.se/jobb/software+developer+within+steering+systems/
2025-01-20,Software Developer / Mjukvaruutvecklare C++,Syntronic AB,Uncategorized,https://vakanser.se/jobb/software+developer+mjukvaruutvecklare+c+39/
2025-01-20,Extrajobb som Embeddedutvecklare inom Functional Safety!,Friday Väst AB,Consultancy,https://vakanser.se/jobb/extrajobb+som+embeddedutvecklare+inom+functional+safety/
2025-01-20,Senior C# Utvecklare,Cilbuper IT AB,Uncategorized,https://vakanser.se/jobb/senior+c+utvecklare+13/
2025-01-20,Syntronic i Göteborg söker fler mjukvaruutvecklare,Syntronic AB,Uncategorized,https://vakanser.se/jobb/syntronic+i+goteborg+soker+fler+mjukvaruutvecklare+6/
2025-01-20,Simulink Developer Göteborg deltid,Modernera AB,Consultancy,https://vakanser.se/jobb/simulink+developer+goteborg+deltid/
2025-01-19,Function Developer Adas,Integro Consulting AB,Consultancy,https://vakanser.se/jobb/function+developer+adas/
2025-01-19,Functional Safety Engineer,Integro Consulting AB,Consultancy,https://vakanser.se/jobb/functional+safety+engineer+161/
2025-01-19,System verification engineer - charging,Noor Engineering AB,Uncategorized,https://vakanser.se/jobb/system+verification+engineer+-+charging+5/
2025-01-19,HIL Engineer,Noor Engineering AB,Uncategorized,https://vakanser.se/jobb/hil+engineer+31/
2025-01-19,Test Engineer,Noor Engineering AB,Uncategorized,https://vakanser.se/jobb/test+engineer+496/
2025-01-16,Embedded Software Engineer,Knightec AB,Consultancy,https://vakanser.se/jobb/embedded+software+engineer+420/
2025-01-16,Android Application Engineer!,EdZa AB,Consultancy,https://vakanser.se/jobb/android+application+engineer/
2025-01-16,Simulink Developer Göteborg heltid,Modernera AB,Consultancy,https://vakanser.se/jobb/simulink+developer+goteborg+heltid/
2025-01-16,Senior System Verification Engineer - Traction Batteries,Volvo Business Services AB,Uncategorized,https://vakanser.se/jobb/senior+system+verification+engineer+-+traction+batteries/
2025-01-16,Cyber Security Engineer,Mission Consultancy Assistance Sweden AB,Consultancy,https://vakanser.se/jobb/cyber+security+engineer+121/
2025-01-16,Mjukvaruuvecklare med erfarenhet av C++,Mission Consultancy Assistance Sweden AB,Consultancy,https://vakanser.se/jobb/mjukvaruuvecklare+med+erfarenhet+av+c+12/
2025-01-16,Mjukvaruutvecklare för inbyggda system,Mission Consultancy Assistance Sweden AB,Consultancy,https://vakanser.se/jobb/mjukvaruutvecklare+for+inbyggda+system+135/
2025-01-16,Embedded engineer in Sweden,Mission Consultancy Assistance Sweden AB,Consultancy,https://vakanser.se/jobb/embedded+engineer+in+sweden+7/
2025-01-16,Pythonutvecklare med erfarenhet av testautomation eller CI/CD,Mission Consultancy Assistance Sweden AB,Consultancy,https://vakanser.se/jobb/pythonutvecklare+med+erfarenhet+av+testautomation+eller+ci+cd+13/
2025-01-16,Lead frontend developer som vill göra skillnad!,Jobnet AB,Uncategorized,https://vakanser.se/jobb/lead+frontend+developer+som+vill+gora+skillnad/
2025-01-16,Junior systemspecialist,Fastighets Ab Balder,Uncategorized,https://vakanser.se/jobb/junior+systemspecialist+2/
2025-01-15,Junior Android Application Engineer,Nexer Tech Talent AB,Consultancy,https://vakanser.se/jobb/junior+android+application+engineer/
2025-01-15,Android Platform Developer,Nexer Tech Talent AB,Consultancy,https://vakanser.se/jobb/android+platform+developer+6/
2025-01-15,Systems Engineer,Nexer Tech Talent AB,Consultancy,https://vakanser.se/jobb/systems+engineer+184/
2025-01-15,Junior Test Engineer,Nexer Tech Talent AB,Consultancy,https://vakanser.se/jobb/junior+test+engineer+11/
2025-01-15,Heating & Cooling System Engineer,Volvo Business Services AB,Uncategorized,https://vakanser.se/jobb/heating+o+cooling+system+engineer+2/
2025-01-15,Senior Simulink Developer Göteborg heltid,Modernera AB,Consultancy,https://vakanser.se/jobb/senior+simulink+developer+goteborg+heltid/
2025-01-15,System Verification Engineer till stort fordonsbolag!,Friday Väst AB,Consultancy,https://vakanser.se/jobb/system+verification+engineer+till+stort+fordonsbolag/
2025-01-15,Test engineer,Mpya Sci & Tech AB,Uncategorized,https://vakanser.se/jobb/test+engineer+495/
2025-01-15,Embeddedutvecklare | Göteborg| Experis,Experis AB,Uncategorized,https://vakanser.se/jobb/embeddedutvecklare+goteborg+experis+2/
2025-01-14,Cloud Architect,Logikfabriken AB,Non-Consultancy,https://vakanser.se/jobb/cloud+architect+103/
2025-01-14,Embedded Software Engineer (Android Emulators),JP IT-Konsult i Stockholm AB,Consultancy,https://vakanser.se/jobb/embedded+software+engineer+android+emulators/
2025-01-14,Javautvecklare | Göteborg | Experis,Experis AB,Uncategorized,https://vakanser.se/jobb/javautvecklare+goteborg+experis+3/
2025-01-14,Senior Scrum Master with SW engineering background,Randstad AB,Consultancy,https://vakanser.se/jobb/senior+scrum+master+with+sw+engineering+background/
2025-01-14,Embedded Software Engineer within automotive,Carabiner AB,Uncategorized,https://vakanser.se/jobb/embedded+software+engineer+within+automotive+4/
2025-01-14,C#-utvecklare - Göteborg heltid,Modernera AB,Consultancy,https://vakanser.se/jobb/c+-utvecklare+-+goteborg+heltid+4/
2025-01-14,Machine learning engineer,Volvo Business Services AB,Uncategorized,https://vakanser.se/jobb/machine+learning+engineer+147/
2025-01-14,DevOps utvecklare,Futuria People AB,Consultancy,https://vakanser.se/jobb/devops+utvecklare+20/
2025-01-13,DevOps Software Engineer - Java,Techster Solutions AB,Uncategorized,https://vakanser.se/jobb/devops+software+engineer+-+java/
2025-01-13,Tech Talent Engineer Program within Automotive 2025,Nexer Tech Talent AB,Consultancy,https://vakanser.se/jobb/tech+talent+engineer+program+within+automotive+2025/
2025-01-13,Data Engineer - Traction Battery,Volvo Personvagnar AB,Non-Consultancy,https://vakanser.se/jobb/data+engineer+-+traction+battery/
2025-01-13,DevOps-utvecklare till Team AI-Hub,Västra Götalandsregionen,Uncategorized,https://vakanser.se/jobb/devops-utvecklare+till+team+ai-hub/
2025-01-13,Software Engineer,Volvo Personvagnar AB,Non-Consultancy,https://vakanser.se/jobb/software+engineer+1453/
2025-01-13,System Verification Engineer,Nexer Mobility AB,Uncategorized,https://vakanser.se/jobb/system+verification+engineer+73/
2025-01-13,Mjukvaruutvecklare till Sigma Technology Göteborg,Sigma Technology Information AB,Uncategorized,https://vakanser.se/jobb/mjukvaruutvecklare+till+sigma+technology+goteborg+4/
2025-01-13,Junior Full stack Developer,Nexer Tech Talent AB,Consultancy,https://vakanser.se/jobb/junior+full+stack+developer+2/
2025-01-13,Software Engineer,NXT Interim Göteborg AB,Uncategorized,https://vakanser.se/jobb/software+engineer+1452/
2025-01-12,Senior fullstack-utvecklare till Lokalguiden i centrala Göteborg,Lokalguiden Sverige AB,Uncategorized,https://vakanser.se/jobb/senior+fullstack-utvecklare+till+lokalguiden+i+centrala+goteborg+2/
2025-01-10,.Net-utvecklare till samhällsviktigt inhouse-uppdrag!,Nexer AB,Uncategorized,https://vakanser.se/jobb/net-utvecklare+till+samhallsviktigt+inhouse-uppdrag/
2025-01-10,Java-utvecklare till samhällsviktigt inhouse-uppdrag!,Nexer AB,Uncategorized,https://vakanser.se/jobb/java-utvecklare+till+samhallsviktigt+inhouse-uppdrag/
2025-01-10,"Senior Cloud Developer - Fullstack (.Net, C#, React, AWS)",Professional Galaxy AB,Uncategorized,https://vakanser.se/jobb/senior+cloud+developer+-+fullstack+net+c+react+aws/
2025-01-10,Senior Java Developer,Volvo Personvagnar AB,Non-Consultancy,https://vakanser.se/jobb/senior+java+developer+244/
2025-01-10,Mjukvaruutvecklare med intresse för AI,Semcon Sweden AB,Uncategorized,https://vakanser.se/jobb/mjukvaruutvecklare+med+intresse+for+ai+44/
2025-01-10,Mjukvaruutvecklare med intresse för e-mobility,Semcon Sweden AB,Uncategorized,https://vakanser.se/jobb/mjukvaruutvecklare+med+intresse+for+e-mobility+8/
2025-01-10,Mjukvaruutvecklare med intresse för Embedded,Semcon Sweden AB,Uncategorized,https://vakanser.se/jobb/mjukvaruutvecklare+med+intresse+for+embedded+12/
2025-01-10,Backend Development Team Lead,Etraveli Group AB,Uncategorized,https://vakanser.se/jobb/backend+development+team+lead/
2025-01-10,Embeddedutvecklare till Autoliv i Göteborg!,Academic Work Sweden AB,Uncategorized,https://vakanser.se/jobb/embeddedutvecklare+till+autoliv+i+goteborg+2/
2025-01-10,AI Software Engineer,Academic Work Sweden AB,Uncategorized,https://vakanser.se/jobb/ai+software+engineer+6/
2025-01-09,Systemutvecklare till modernt techbolag,Jobnet AB,Uncategorized,https://vakanser.se/jobb/systemutvecklare+till+modernt+techbolag+173/
2025-01-09,Embeddedutvecklare till tekniskt konsultföretag,Jobnet AB,Uncategorized,https://vakanser.se/jobb/embeddedutvecklare+till+tekniskt+konsultforetag+70/
2025-01-09,Java Fullstack Engineer,Explipro Group AB,Uncategorized,https://vakanser.se/jobb/java+fullstack+engineer+2/
2025-01-09,Senior Backendutvecklare till Zacco i Göteborg sökes!,Professionals Nord Rekrytering AB,Uncategorized,https://vakanser.se/jobb/senior+backendutvecklare+till+zacco+i+goteborg+sokes+6/
2025-01-09,Senior Backend Developer,Sigma Embedded Engineering AB,Uncategorized,https://vakanser.se/jobb/senior+backend+developer+187/
2025-01-09,Javautvecklare till bolag inom cybersäkerhet,Jobnet AB,Uncategorized,https://vakanser.se/jobb/javautvecklare+till+bolag+inom+cybersakerhet+22/
2025-01-09,Systemutvecklare till innovativt IT-företag,Jobnet AB,Uncategorized,https://vakanser.se/jobb/systemutvecklare+till+innovativt+it-foretag+171/
2025-01-09,Systemingenjör inom Embedded Systems,Afry AB,Consultancy,https://vakanser.se/jobb/systemingenjor+inom+embedded+systems+2/
2025-01-09,Front-end utvecklare,Futuria People AB,Consultancy,https://vakanser.se/jobb/front-end+utvecklare+92/
2025-01-08,Embedded Software Developer,Volvo Personvagnar AB,Non-Consultancy,https://vakanser.se/jobb/embedded+software+developer+431/
2025-01-08,Utvecklare C#,Logikfabriken AB,Non-Consultancy,https://vakanser.se/jobb/utvecklare+c+49/
2025-01-08,Senior Software Engineer,Volvo Personvagnar AB,Non-Consultancy,https://vakanser.se/jobb/senior+software+engineer+458/
2025-01-08,Senior Backend Developer - Try & Hire,Explipro Group AB,Uncategorized,https://vakanser.se/jobb/senior+backend+developer+-+try+o+hire/
2025-01-08,Software Test Engineer,Volvo Personvagnar AB,Non-Consultancy,https://vakanser.se/jobb/software+test+engineer+174/
2025-01-08,Backend utvecklare,Futuria People AB,Consultancy,https://vakanser.se/jobb/backend+utvecklare+61/
2025-01-08,Lösningsarkitekt / Systemarkitekt,Futuria People AB,Consultancy,https://vakanser.se/jobb/losningsarkitekt+systemarkitekt+5/
2025-01-08,"Solution Engineer (IT/Network/Architect) to Icomera, Gothenburg",Jerrie AB,Uncategorized,https://vakanser.se/jobb/solution+engineer+it+network+architect+to+icomera+gothenburg/
2025-01-07,Junior System Verification Engineer within Automotive,Nexer Tech Talent AB,Consultancy,https://vakanser.se/jobb/junior+system+verification+engineer+within+automotive/
2025-01-07,Mjukvaruutvecklare inom fordon,Afry AB,Consultancy,https://vakanser.se/jobb/mjukvaruutvecklare+inom+fordon/
2025-01-07,Automotive Embedded Software Engineer,Afry AB,Consultancy,https://vakanser.se/jobb/automotive+embedded+software+engineer+17/
2025-01-07,Senior Software Engineer within vehicle motion,Afry AB,Consultancy,https://vakanser.se/jobb/senior+software+engineer+within+vehicle+motion/
2025-01-07,C++ Utvecklare,Nexer Mobility AB,Uncategorized,https://vakanser.se/jobb/c+utvecklare+115/
2025-01-07,.Net systemutvecklare - Göteborg heltid,Modernera AB,Consultancy,https://vakanser.se/jobb/net+systemutvecklare+-+goteborg+heltid+4/
2025-01-07,Senior Software Engineer Computer Vision,Professional Galaxy AB,Uncategorized,https://vakanser.se/jobb/senior+software+engineer+computer+vision/
2025-01-07,Senior SIL Developer,Nexer AB,Uncategorized,https://vakanser.se/jobb/senior+sil+developer+3/
2025-01-07,Senior React Native Developer,Rapid Consulting Sweden AB,Consultancy,https://vakanser.se/jobb/senior+react+native+developer+7/
2025-01-07,Recent Graduated Engineers - Your future challenge starts here!,Saab AB,Non-Consultancy,https://vakanser.se/jobb/recent+graduated+engineers+-+your+future+challenge+starts+here+3/
2025-01-07,Senior Embedded developers - Sebratec,Sebratec AB,Uncategorized,https://vakanser.se/jobb/senior+embedded+developers+-+sebratec+4/
2025-01-07,Software Developer to Sebratec,Sebratec AB,Uncategorized,https://vakanser.se/jobb/software+developer+to+sebratec+4/
2025-01-07,Mobile developer talents to Sebratec!,Sebratec AB,Uncategorized,https://vakanser.se/jobb/mobile+developer+talents+to+sebratec+4/
2025-01-07,Sebratec looking for System Engineers,Sebratec AB,Uncategorized,https://vakanser.se/jobb/sebratec+looking+for+system+engineers+4/
2025-01-06,"Salesforce Developers ,Salesforce Business Analyst and TPM -2025",Sekrond AB,Uncategorized,https://vakanser.se/jobb/salesforce+developers+salesforce+business+analyst+and+tpm+-2025/
2025-01-03,Fullstackutvecklare till Allevi i Göteborg sökes!,Professionals Nord Rekrytering AB,Uncategorized,https://vakanser.se/jobb/fullstackutvecklare+till+allevi+i+goteborg+sokes+6/
2025-01-03,Utvecklare i C++ för hårdvarunära utveckling till Veracio/Minalyze!,Framtiden i Sverige AB,Uncategorized,https://vakanser.se/jobb/utvecklare+i+c+for+hardvarunara+utveckling+till+veracio+minalyze/
2025-01-02,iOS Developer,Opera Sweden AB,Uncategorized,https://vakanser.se/jobb/ios+developer+293/
2024-12-30,"Systemspecialist, Mikrobiologi",Unilabs AB,Uncategorized,https://vakanser.se/jobb/systemspecialist+mikrobiologi+2/
2024-12-30,C#/.Net Developer,Synteda AB,Uncategorized,https://vakanser.se/jobb/c+net+developer+36/
2024-12-30,Java developer,Synteda AB,Uncategorized,https://vakanser.se/jobb/java+developer+553/
2024-12-30,Software Developer,Zcelero AB,Consultancy,https://vakanser.se/jobb/software+developer+1216/
2024-12-29,Senior Software Engineer,Click to Hire AB,Uncategorized,https://vakanser.se/jobb/senior+software+engineer+455/
2024-12-24,Software Engineer,Rasala Group AB,Non-Consultancy,https://vakanser.se/jobb/software+engineer+1444/
2024-12-23,Embedded Linux Developer,Integro Consulting AB,Consultancy,https://vakanser.se/jobb/embedded+linux+developer+60/
2024-12-23,Integration Developer,Integro Consulting AB,Consultancy,https://vakanser.se/jobb/integration+developer+64/
2024-12-23,System Design Engineer ESS,Integro Consulting AB,Consultancy,https://vakanser.se/jobb/system+design+engineer+ess+3/
2024-12-23,Thermal Simulation Model Developer,Integro Consulting AB,Consultancy,https://vakanser.se/jobb/thermal+simulation+model+developer+3/
2024-12-23,SW Release Engineer,Integro Consulting AB,Consultancy,https://vakanser.se/jobb/sw+release+engineer+3/
2024-12-23,Fullstack Developer,Integro Consulting AB,Consultancy,https://vakanser.se/jobb/fullstack+developer+357/
2024-12-23,Adas Function Developer,Integro Consulting AB,Consultancy,https://vakanser.se/jobb/adas+function+developer+3/
2024-12-23,Test Rig Developer,Integro Consulting AB,Consultancy,https://vakanser.se/jobb/test+rig+developer+3/
2024-12-23,Sr EDS Engineer,Integro Consulting AB,Consultancy,https://vakanser.se/jobb/sr+eds+engineer+3/
2024-12-23,EE System Design Engineer,Integro Consulting AB,Consultancy,https://vakanser.se/jobb/ee+system+design+engineer+11/
2024-12-23,Database Administrator,Etraveli Group AB,Uncategorized,https://vakanser.se/jobb/database+administrator+55/
2024-12-23,Embedded Mjukvaruutvecklare med erfarenhet från telekom,Consat Engineering AB,Uncategorized,https://vakanser.se/jobb/embedded+mjukvaruutvecklare+med+erfarenhet+fran+telekom/
2024-12-20,Fullstack utvecklare med intresse för automation och styrning!,Friday Väst AB,Consultancy,https://vakanser.se/jobb/fullstack+utvecklare+med+intresse+for+automation+och+styrning/
2024-12-20,Senior Backend Engineer,Matchi AB,Uncategorized,https://vakanser.se/jobb/senior+backend+engineer+94/
2024-12-20,Senior Verification Engineer,Randstad AB,Consultancy,https://vakanser.se/jobb/senior+verification+engineer+14/
2024-12-20,Embedded/Simulinkutvecklare som räddar liv!,Friday Väst AB,Consultancy,https://vakanser.se/jobb/embedded+simulinkutvecklare+som+raddar+liv/
2024-12-20,CI/CD utvecklare,Sigma Embedded Engineering AB,Uncategorized,https://vakanser.se/jobb/ci+cd+utvecklare+3/
2024-12-20,Backend Developer,Benify AB,Non-Consultancy,https://vakanser.se/jobb/backend+developer+519/
2024-12-20,Software Developer,Zenseact AB,Uncategorized,https://vakanser.se/jobb/software+developer+1213/
2024-12-20,Mjukvaruutvecklare inom 5G!,New Professional Minds AB,Uncategorized,https://vakanser.se/jobb/mjukvaruutvecklare+inom+5g+7/
2024-12-20,Mjukvaruutvecklare till spännande bolag i Göteborg,Framtiden i Sverige AB,Uncategorized,https://vakanser.se/jobb/mjukvaruutvecklare+till+spannande+bolag+i+goteborg/
2024-12-19,Klientutvecklare webb - sökes till Iver,Iver Sverige AB,Uncategorized,https://vakanser.se/jobb/klientutvecklare+webb+-+sokes+till+iver/
2024-12-19,GIS-utvecklare,Esri Sverige AB,Uncategorized,https://vakanser.se/jobb/gis-utvecklare+37/
2024-12-18,"Software Engineer, Active Safety",Together Tech AB,Uncategorized,https://vakanser.se/jobb/software+engineer+active+safety/
2024-12-18,Lead Developer,Together Tech AB,Uncategorized,https://vakanser.se/jobb/lead+developer+140/
2024-12-18,Release Engineer,Techster Solutions AB,Uncategorized,https://vakanser.se/jobb/release+engineer+21/
2024-12-18,Webbutvecklare till företag i Göteborg,Bravura Sverige AB,Uncategorized,https://vakanser.se/jobb/webbutvecklare+till+foretag+i+goteborg/
